normalized,total_count,num_variants,variants_with_counts
flan_t_5_base,40,8,Flan-T5-base (18); FLAN-T5-base (7); FLAN-T5-Base (5); Flan-T5-Base (5); Flan-T5 Base (2); FLAN-T5-BASE (1); Flan-T5 base (1); flan-t5-base (1)
llama_3.2_3b_instruct,40,7,Llama-3.2-3B-Instruct (25); LLaMA-3.2-3B-Instruct (7); Llama3.2-3B-Instruct (4); LLaMA 3.2 3B Instruct (1); LLaMA-3.2-3B-INSTRUCT (1); LLaMA3.2-3B-Instruct (1); Llama 3.2-3B Instruct (1)
m_2m_100,40,3,M2M-100 (25); M2M100 (11); m2m-100 (4)
bloom,40,2,BLOOM (39); Bloom (1)
flan_t_5_xxl,39,6,Flan-T5-XXL (21); FLAN-T5-XXL (8); Flan-T5 XXL (4); Flan-T5-xxl (4); FLAN-T5 XXL (1); FLAN-T5-xxl (1)
qwen_2.5_1.5b,39,5,Qwen2.5-1.5B (28); Qwen-2.5-1.5B (6); Qwen 2.5 1.5B (2); Qwen2.5 1.5B (2); Qwen 2.5-1.5B (1)
gemma_2b,39,4,Gemma-2B (33); Gemma (2B) (3); Gemma 2B (2); Gemma-2b (1)
unilm,39,3,UniLM (35); UNILM (3); Unigram Language Model (uniLM) (1)
longformer,39,2,Longformer (38); LongFormer (1)
qwen_2_vl,39,2,Qwen2-VL (37); Qwen-2-VL (2)
qwen_2_vl_7b,38,6,Qwen2-VL-7B (33); QWEN2-VL-7B (1); Qwen2 VL 7B (1); Qwen2-VL (7B) (1); Qwen2-VL 7B (1); Qwen2-VL-7b (1)
t_5_11b,38,4,T5-11B (32); T5-11b (4); Delphi (T5-11B) (1); T5 11B (1)
codex,38,3,Codex (33); CODEX (3); CodeX (2)
claude,38,2,Claude (37); CLAUDE (1)
llama_2_chat,37,15,Llama2-chat (6); LLaMA-2-Chat (5); Llama-2-Chat (5); LLaMA2-Chat (3); LLaMA2-chat (3); Llama-2-chat (3); LLaMA-2-chat (2); Llama 2-Chat (2); Llama2-Chat (2); LLAMA2-Chat (1); LLaMA 2-Chat (1); LLaMA-2 Chat (1); LLaMA2-CHAT (1); Llama 2 Chat (1); Llama-2 Chat (1)
gemma_2_9b_it,37,8,Gemma-2-9B-it (15); Gemma-2-9B-IT (13); Gemma-2-9b-it (3); Gemma-2-9B-It (2); Gemma 2 9B IT (1); Gemma2-9B-It (1); Gemma2-9B-it (1); gemma-2-9b-it (1)
gemma_2_27b,37,6,Gemma-2-27B (18); Gemma2-27B (8); Gemma 2 27B (6); Gemma-2-27b (2); Gemma2-27b (2); Gemma2 27B (1)
claude_3_haiku,37,5,Claude-3-Haiku (22); Claude 3 Haiku (8); Claude-3-haiku (4); Claude-3 Haiku (2); Claude3-haiku (1)
mbart_50,37,4,mBART-50 (17); mBART50 (16); MBart-50 (2); MBart50 (2)
qwen_2.5_3b_instruct,37,3,Qwen2.5-3B-Instruct (30); Qwen-2.5-3B-Instruct (5); Qwen2.5-3B-instruct (2)
llava_next,36,7,LLaVA-NeXT (15); LLaVA-Next (12); LLaVA-NEXT (5); LLaVA-next (1); LLaVa-NEXT (1); LlaVA-NeXT (1); Llava-next (1)
qwen_7b,36,4,Qwen-7B (30); Qwen 7B (4); QWen-7b (1); Qwen-7b (1)
nllb,36,2,NLLB (35); No Language Left Behind (NLLB) (1)
palm,36,2,PaLM (34); PALM (2)
gemma_2_2b,34,6,Gemma-2-2B (15); Gemma2-2B (11); Gemma 2 2B (4); Gemma-2 2B (2); Gemma2 2B (1); Gemma2-2b (1)
opt_6.7b,34,4,OPT-6.7B (29); OPT 6.7B (2); OPT-6.7b (2); OPT (6.7B) (1)
minigpt_4,34,3,MiniGPT-4 (30); MiniGPT4 (3); miniGPT-4 (1)
distilbert,34,2,DistilBERT (33); distilBERT (1)
o_1_mini,34,2,o1-mini (33); O1-Mini (1)
qwen_2_72b,33,5,Qwen2-72B (26); Qwen-2-72B (3); Qwen2-72b (2); Qwen-2 72B (1); Qwen2 72B (1)
